Title,Genre,Year,Rating,Director,Cast,Duration,Language,Country of Origin,Revenue,Budget
"Tango, Tequila and Some Lies",Comedy,2023,7.564,Celso García,"Cassandra Sánchez Navarro, David Chocarro, Soledad Silveyra, Emilio Guerrero, Ximena Sariñana, Pilar Santacruz, Paulina Patterson, Karina Díaz, Anahí Allue",114,es,Mexico,N/A,N/A
Orgasm Inc: The Story of OneTaste,Documentary,2022,6.404,Sloane Klevin,N/A,89,en,United States of America,N/A,N/A
Life in a Year,Drama,2020,8.273,Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long, RZA, JT Neal, Chris D'Elia, Harper Gunn, Dan Tymon",107,en,United States of America,N/A,N/A
Cars 3,Animation,2017,6.85,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion, Armie Hammer, Larry the Cable Guy, Bonnie Hunt, Lea DeLaria, Kerry Washington, Tony Shalhoub, Guido Quaroni, Lloyd Sherr, Paul Dooley, Cheech Marin, Jenifer Lewis, Lewis Hamilton, Bob Costas, Bob Peterson, Katherine Helmond, John Ratzenberger, Michael Wallis, Ray Magliozzi, Tom Magliozzi, Junior Johnson, Margo Martindale, Chase Elliott, Ryan Blaney, Darrell Waltrip, Shannon Spake, Humpy Wheeler, Jeff Gordon, Daniel Suárez, Kyle Petty, Mike Joy, Ray Evernham, Richard Petty, Jason Pace, Angel Oquendo, Madeleine McGraw, Andra Day, Bubba Wallace, Isiah Whitlock Jr., Paul Newman",102,en,United States of America,383925276,175000000
Me Before You,Drama,2016,7.912,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance, Brendan Coyle, Jenna Coleman, Matthew Lewis, Samantha Spiro, Stephen Peacocke, Vanessa Kirby, Ben Lloyd-Hughes, Joanna Lumley, Lily Travers, Alan Breck, Eileen Dunwoodie, Pablo Raybould, Gabrielle Downey, Henri Charles, Muzz Khan, Richard Goulding, Diane Morgan, Stephen Chance, Sharon Cherry Ballard, Chuku Modu, Verity Marshall, Manuel Severi",110,en,United States of America,207945075,20000000
A Female Employee's Taste,Drama,2018,4.9,Choi Woo-seong,"Lee Soo, Seo Won, Lee Jae-sik, Jang In-hyuk, Ha Jin, Min Do-yoon, Sang Woo",80,ko,South Korea,N/A,N/A
3-D Sex and Zen: Extreme Ecstasy,Drama,2011,4.829,Christopher Sun,"Saori Hara, Yukiko Suo, Tony Ho, Vonnie Lui, Leni Lan, Hiro Hayama, Carina Chan, Jason Yiu, Tenky Tin Kai-Man, Kirt Kishita, Mark Wu Yiu-Fai, Cliff Chan, Wong Shu-Tong, Justin Cheung, Lawrence Lau Sek-Yin",105,cn,Hong Kong,10308238,3500000
Glass Onion: A Knives Out Mystery,Comedy,2022,7.083,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monáe, Kathryn Hahn, Leslie Odom Jr., Kate Hudson, Dave Bautista, Jessica Henwick, Madelyn Cline, Noah Segan, Jackie Hoffman, Dallas Roberts, Stephen Sondheim, Angela Lansbury, Natasha Lyonne, Kareem Abdul-Jabbar, Serena Williams, Yo-Yo Ma, Jacek Czajka, Dan Chariton, Eddie Gorodetsky, Coco Shinomiya, Dilcia Barrera, Mark Newman, Adam Davenport, Lauren Ivy, Momo Pićurić, N.J. Gentry, Ali Goksoy, James Payton, T. Florian Karnowski, Jake Tapper, Panagiotis Margetis, Adele Franck, Ethan Hawke, Hugh Grant, Joseph Gordon-Levitt",140,en,United States of America,13280000,40000000
Harry Potter and the Chamber of Secrets,Adventure,2002,7.723,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh, John Cleese, Robbie Coltrane, Warwick Davis, Richard Griffiths, Richard Harris, Jason Isaacs, Alan Rickman, Fiona Shaw, Maggie Smith, Julie Walters, David Bradley, Tom Felton, Sean Biggerstaff, Robert Hardy, Shirley Henderson, Gemma Jones, Miriam Margolyes, Mark Williams, Harry Melling, Bonnie Wright, James Phelps, Oliver Phelps, Chris Rankin, Toby Jones, Josh Herdman, Jamie Waylett, Christian Coulson, Matthew Lewis, Alfred Enoch, Devon Murray, Luke Youngblood, Hugh Mitchell, Edward Randell, Veronica Clifford, Jim Norton, Tom Knight, Heather Bleasdale, Ben Borowiecki, Isabella Columbus, Edward Tudor-Pole, Gemma Padley, Jenny Tarren, Peter O'Farrell, Eleanor Columbus, Harry Taylor, Rochelle Douglas, Emily Dale, Danielle Tabor, Jamie Yeates, Violet Columbus, Peter Taylor, Scot Fearn, David Holmes, David Massam, Tony Christian, David Churchyard, Sally Mortemore, Louis Doyle, Charlotte Skeoch, Brendan Columbus, Robert Ayres, Alfred Burke, Leslie Phillips, Helen Stuart, Daisy Bates, David Tysall, Martin Bayfield, Julian Glover, Les Bubb",161,en,United Kingdom,876688482,100000000
The Fallout,Drama,2021,7.707,Megan Park,"Jenna Ortega, Maddie Ziegler, Niles Fitch, Will Ropp, Lumi Pollack, John Ortiz, Julie Bowen, Shailene Woodley, Christine Horn, Austin Zajur, Yindra Zayas, Elliott Roca, Malcolm Santos",96,en,United States of America,N/A,N/A
The Help,Drama,2011,8.197,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard, Jessica Chastain, Anna Camp, Ahna O'Reilly, Allison Janney, Mary Steenburgen, Mike Vogel, Sissy Spacek, Chris Lowell, Cicely Tyson, Aunjanue Ellis, David Oyelowo, Dana Ivey, LaChanze, Brian Kerwin, Wes Chatham, Ted Welch, Shane McRae, Roslyn Ruff, Tarra Riggs, Leslie Jordan, Tiffany Brouwer, Carol Sutton, Ashley Johnson, Ritchie Montgomery, Nelsan Ellis, Cleta Elaine Ellington, Amy Beckwith, Julie Ann Doan, Lamar Lott, Charles Orr, Ya'lita Thompson",146,en,United States of America,216639112,25000000
Ghosts of the Ozarks,Western,2022,6.25,Jordan Wayne Long,"Thomas Hobson, Tara Perry, Phil Morris, Angela Bettis, David Arquette, Tim Blake Nelson, Joseph Ruud, David Aaron Baker, Neva Howell, Brandon Gibson, Scott Dean, Graham Gordy, Ed Lowry, Skylar Olivia Flanagan, Aaron Preusch, Taylor Alden, Corbin B. Pitts, Skyler Elyse Philpot, Tommy Terry Pantera Wageman",100,en,United States of America,N/A,N/A
Everything Everywhere All at Once,Action,2022,7.877,Daniel Scheinert,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Tallie Medel, Jenny Slate, Harry Shum Jr., Biff Wiff, Sunita Mani, Aaron Lazar, Brian Le, Andy Le, Neravana Cabral, Chelsey Goldsmith, Craig Henningsen, Anthony Molinari, Dan Brown, Panuvat Anthony Nanakornpanom, Cara Marie Chooljian, Randall Archer, Efka Kvaraciejus, Peter Banifaz, Audrey Wasilewski, Li Jing, Dylan Henry Lau, Boon Pin Koh, Timothy Eulich, Daniel Scheinert, Michiko Nishiwaki, Jane Lui, Jason Hamer, Timothy Ralston, Hiroshi Yada, Randy Newman, Daniel Kwan, Elle Alexander, Emmett Ferguson, Waymond Lee, Amanda MacLeod, Pablo Ramos, D.Y. Sao, Freya Fox",140,en,United States of America,114900000,25000000
Sing 2,Animation,2021,7.955,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Taron Egerton, Bobby Cannavale, Tori Kelly, Nick Kroll, Halsey, Spike Jonze, Nick Offerman, Letitia Wright, Eric André, Pharrell Williams, Chelsea Peretti, Bono, Garth Jennings, Adam Buxton, Jennifer Saunders, Julia Davis, Peter Serafinowicz, Edgar Wright, Wes Anderson, Scott Mosier, Jason Schwartzman, Tara Strong, Fisher Stevens, Debra Wilson, Doug Burch, Cathy Cavadini, Chris Renaud, Brian T. Delaney, Aaron Fors, Julianna Gamiz, Aaron Hendry, Barbara Harris, JP Karliak, John Kassir, Danny Mann, Regina Taufen, Will Collyer, Hudson D'Andrea, Remy Edgerly, George Griffiths, Isa Hall, Asa Jennings, Caspar Jennings, Louise Jennings, Katherine Kelloway, Igor Khait, Vida Alves McConaughhey, Jason Broad, Levi Nunez, Joy Poirel, Adeline Krupinski Polidoro, Noreen Reardon, Gary P. Rizzo, Liza Seneca, Ayden Soria, Jack Stanton, Thomas Walters, Colette Whitaker, Nora Wyman",110,en,United States of America,406000000,85000000
Harry Potter and the Philosopher's Stone,Adventure,2001,7.913,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton, Alan Rickman, Robbie Coltrane, Maggie Smith, Richard Griffiths, Ian Hart, Fiona Shaw, John Hurt, David Bradley, Matthew Lewis, Sean Biggerstaff, Warwick Davis, Harry Melling, James Phelps, Oliver Phelps, John Cleese, Chris Rankin, Alfred Enoch, Devon Murray, Jamie Waylett, Josh Herdman, Zoë Wanamaker, Julie Walters, Bonnie Wright, Luke Youngblood, Verne Troyer, Adrian Rawlins, Geraldine Somerville, Elizabeth Spriggs, Richard Bremmer, Nina Young, Terence Bayler, Harry Taylor, Jean Southern, Leslie Phillips, Simon Fisher-Becker, Derek Deadman, Ray Fearon, Eleanor Columbus, Ben Borowiecki, Danielle Tabor, Leilah Sutherland, Emily Dale, Will Theakston, Scot Fearn, Saunders Triplets, Kieri Kennedy, Leila Hoffman, Julianne Hough, Zoe Sugg, Jimmy Vee, Derek Hough, Dani Harmer, Mark Ballas, Paul Marc Davis, Violet Columbus, Paul Grant",152,en,United Kingdom,976475550,125000000
Housewife Sex Slaves: Hatano Yui,N/A,2017,N/A,N/A,Yui Hatano,118,ja,Japan,N/A,N/A
In His Shadow,Drama,2023,6.219,Marc Fouchard,"Kaaris, Alassane Diong, Assa Sylla, Issaka Sawadogo, Hassam Ghancy, Jonas Dinal, Dreyfus Gbadjale, Fahmi Guerbaa, Samuel Jouy, Christopher Loremat, Carl Malapa, Mareme N'Diaye, Durel Nkounkou, Ali Ouchinka, Tatiana Rojo, Aksel Üstün, Mylène Wagram, Malika Zairi",89,fr,France,N/A,N/A
Teen Wolf: The Movie,Action,2023,7.804,Russell Mulcahy,"Tyler Posey, Crystal Reed, Holland Roden, Tyler Hoechlin, Shelley Hennig, JR Bourne, Ian Bohen, Colton Haynes, Linden Ashby, Melissa Ponzio, Ryan Kelley, Seth Gilliam, Orny Adams, Dylan Sprayberry, Khylin Rhambo, Aaron Hendry, Vince Mattis, Amy L. Workman, Adam Fristoe, Eaddy Mays, Manuel Rafael Lozano, Jesse Posey, Nobi Nakanishi, Chloe Bremer, Carolina Montenegro, L.B. Fisher, Ashley Flowers, Mason Douglas",140,en,United States of America,N/A,N/A
Bullet Train,Action,2022,7.496,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Bad Bunny, Sandra Bullock, Zazie Beetz, Logan Lerman, Masi Oka, Karen Fukuhara, Kevin Akiyoshi Ching, Minchi Murakami, Kaori Taketani, Toshitaka Katsumi, Jim Garrity, Emelina Adams, Jenson Cheng, Nobuaki Shimamoto, Yoshi Sudarso, Johanna Watts, Ian Martinez, Tania Verafield, Pancho Cardena, Julio Gabay, Andrea Muñoz, Nancy Daly, Arnold Chun, Naomi Matsuda, Benmio McCrea, Pasha D. Lychnikoff, Joshua Johnson-Payne, Miles Marz, Michelle Lee, Parker Lin, Garland Scott, Jason Matthew Smith, Zooey Miyoshi, Kamil Aydin, David Leitch, Channing Tatum, Ryan Reynolds, RiRia",126,en,United States of America,239268602,90000000
Babylon,Drama,2022,7.544,Damien Chazelle,"Brad Pitt, Margot Robbie, Diego Calva, Jean Smart, Flea, Jovan Adepo, J.C. Currais, Jimmy Ortega, Hansford Prince, Telvin Griffin, Olivia Wilde, Circus-Szalewski, Lukas Haas, Li Jun Li, Kaia Gerber, Patrick Fugit, Eric Roberts, Cici Lau, Tyler Seiple, Zack Newick, Rory Scovel, Olivia Hamilton, P.J. Byrne, Alexandre Chen, Bob Clendenin, Miraj Grbić, Johnny Hoops, James Wellington, Carlos Nunez, Laura Steinel, Danny Jolles, James Vincent, Richard Clarke Larsen, Max Minghella, Samara Weaving, Jeff Garlin, Anthony Burkhalter, Terry Walters, Trisha Simmons, Ariel Flores, Karolina Szymczak, Sean O'Bryan, David Ury, Katia Gomez, Vanessa Bednar, Carson Higgins, Armando Cosio, Frederick Koehler, Spencer Morgan, Ric Sarabia, Jim Allen Jackson, Katherine Waterston, Yissendy Trinidad, Cyrus Hobbi, Anton Hedayat, Hayley Huntley, John Mariano, Christopher Allen, Arely Vianet, Jeremy Roberts, Alex Reznik, Chloe Fineman, Pat Skipper, John Kerry, Sarah Ramos, Jennifer Grant, Julian Lefevre, Taylor Nichols, Bryan Scott Johnson, Kelly Meyer, Brenna Power, David Abed, Kevin Symons, Jonathan Thomson, Jim O'Brien, Chris Doubek, Dorian Martin, Todd Giebenhain, Mather Zickel, Ireland Sexton, Andrew Hawtrey, Mike Fletcher, Jonathan Ohye, James Crittenden, Pete Ploszek, Robert Beitzel, Ethan Suplee, Walker Hare, Douglas Fruchey, Taylor Hill, Marc Platt, Stephen Thomas, Sophia Magaña, Karen Bethzabe, Oscar Balderrama, Aurielle Simmons, Eamon Hunt, Kenajuan Bentley, John Macey, Noah Reilly, Marcos A. Ferraez, Phoebe Tonkin, Troy Metcalf, Albert Hammond Jr., Cutty Cuthbert, Bregje Heinen, Dana Marcolina, Tal Seder, Robert Morgan, Nana Ghana, Joe Dallesandro, E.E. Bell, Sol Landerman, Karina Fontes, Spike Jonze, Freya Parker, Tobey Maguire, Lewis Tan, Manny Liotta, Anna Chazelle, Mike C. Manning",189,en,United States of America,56351455,78000000
Kompromat,Thriller,2022,6.44,Jérôme Salle,"Gilles Lellouche, Joanna Kulig, Mikhail Gorevoy, Sasha Piltsin, Mikhail Safronov, Aleksey Gorbunov, Igor Jijikine, Elisa Lasowski, Daniil Vorobyov, Judith Henry, Pierre Hancisse, Marius Repšys, Olivia Malahieude, Marius Čižauskas, Tanel Jonas, Larisa Kalpokaitė, Algirdas Latėnas, Louis-Do de Lencquesaing",127,fr,France,N/A,N/A
The Price We Pay,Action,2023,6.015,Ryûhei Kitamura,"Emile Hirsch, Stephen Dorff, Gigi Zumbado, Tyler Sanders, Erika Ervin, Jesse Kinser, Sabina Mach, Vernon Wells, Tanner Zagarino, Eleanor Burke",85,en,United States of America,N/A,N/A
Shark Bait,Horror,2022,5.851,James Nunn,"Holly Earl, Maxime Durand, Catherine Hannay, Jack Trueman, Joshua Takacs, Manuel Cauchi, Malachi Pullar-Latchman, Thomas Michael Flynn",87,en,Malta,N/A,N/A
Lupin The 3rd vs. Cat’s Eye,Animation,2023,6.0,Kobun Shizuno,"Kanichi Kurita, Akio Otsuka, Miyuki Sawashiro, Daisuke Namikawa, Koichi Yamadera, Keiko Toda, Rica Fukami, Chika Sakamoto, Yoshito Yasuhara, Mugihito, Takayuki Sugo, Hiroki Touchi, Banjo Ginga",92,ja,Japan,N/A,N/A
Hacksaw Ridge,Drama,2016,8.19,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey, Hugo Weaving, Ryan Corr, Rachel Griffiths, Richard Roxburgh, Luke Pegler, Firass Dirani, Goran D. Kleut, Nathaniel Buzolic, Ori Pfeffer, Matt Nable, Jacob Warner, Richard Pyros, Ben Mingay, Harry Greenwood, Damien Thomlinson, Robert Morgan, Milo Gibson, John Batziolas, Mikael Koski, Charles Jacobs, Ben O'Toole, James Lugton, Tim McGarry, Tyler Coppin, Dennis Kreusler, Nico Cortez, Helmut Bakaitis, Bill Young, Benedict Hardie, Santo Tripodi, Darcy Bryce, Philip Quast, James Mackay, Sam Parsonson, Sean Lynch, Hayden Geens, Tim Potter, Santo Tripodi, Nobuaki Shimamoto, Laurence Brewer, Hiroshi Kasuga, Yuki Nagashima, Taki Abe, Taka Uematsu, Yoji Tatsuta, Thomas Unger, John Cannon, Georgia Adamson, James O'Connell, Jim Robison, Milan Pulvermacher, Yasushi Asaya",139,en,Australia,175302354,40000000
Harry Potter and the Half-Blood Prince,Adventure,2009,7.698,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Tom Felton, Jim Broadbent, Robbie Coltrane, Alan Rickman, Maggie Smith, Helena Bonham Carter, Timothy Spall, David Thewlis, David Bradley, Warwick Davis, Gemma Jones, Helen McCrory, Natalia Tena, Julie Walters, Mark Williams, Bonnie Wright, Dave Legeno, Elarica Johnson, Geraldine Somerville, Oliver Phelps, James Phelps, Freddie Stroma, Jessie Cave, Alfred Enoch, Evanna Lynch, Robert Knox, Amber Evans, Ruby Evans, Louis Cordice, Scarlett Hefner, Jamie Waylett, Josh Herdman, Matthew Lewis, William Melling, Anna Shaffer, Devon Murray, Georgina Leonidas, Isabella Laughland, Afshan Azad, Shefali Chowdhury, Amelda Brown, Hero Fiennes Tiffin, Jack Pryor, Mark Lockyer, Paul Ritter, Frank Dillane, Joerg Stadler, Caroline Wildi, Ralph Ineson, Suzie Toase, Rod Hunt, Katie Leung, Nathan Clarke, Olivia Jewson, Freddie Rose",153,en,United Kingdom,933959197,250000000
Harry Potter and the Goblet of Fire,Adventure,2005,7.817,Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Robbie Coltrane, Robert Pattinson, Michael Gambon, David Tennant, Miranda Richardson, Clémence Poésy, Ralph Fiennes, Alan Rickman, Stanislav Yanevski, Maggie Smith, Timothy Spall, Frances de la Tour, Jason Isaacs, Gary Oldman, Predrag Bjelac, David Bradley, Warwick Davis, Tom Felton, Robert Hardy, Shirley Henderson, Roger Lloyd Pack, Mark Williams, Eric Sykes, James Phelps, Oliver Phelps, Bonnie Wright, Jeff Rawle, Philip Rham, Olivia Higginbottom, Ashley Artus, Alex Palmer, Paschal Friel, Richard Rosson, Sheila Allen, Su Elliot, Anne Lacy, Flip Webster, David Sterne, Christopher Whittingham, Liam McKenna, Campbell Graham, Margery Mason, Katie Leung, Matthew Lewis, William Melling, Devon Murray, Afshan Azad, Shefali Chowdhury, Angelica Mandy, Tolga Safer, Alfred Enoch, Louis Doyle, Jamie Waylett, Josh Herdman, Charlotte Skeoch, Robert Wilfort, Tiana Benjamin, Henry Lloyd-Hughes, Jarvis Cocker, Jonny Greenwood, Philip Selway, Steve Mackey, Jason Buckle, Steve Claydon, Alan Watts, Adrian Rawlins, Geraldine Somerville, Oliver Miceli, Jesy Nelson",157,en,United Kingdom,895921036,150000000
Balik Taya,Thriller,2023,2.0,Roman Perez Jr.,"Angeli Khang, Jela Cuenca, Kiko Estrada, Azi Acosta, Chesca Paredes, Amor Lapus, Benz Sangalang, Nor Domingo, Gilleth Sandico, Lou Veloso, Aiko Garcia",N/A,tl,Philippines,N/A,N/A
Prom Pact,Romance,2023,8.02,Anya Adams,"Peyton Elizabeth Lee, Milo Manheim, Margaret Cho, Blake Draper, Monique A. Green, Arica Himmel, Jason Sakaki, David S. Jung, Nolen Dubuc, Kevin Osea",98,en,Canada,N/A,N/A
Savage Salvation,Thriller,2022,6.55,Randall Emmett,"Jack Huston, Robert De Niro, John Malkovich, Willa Fitzgerald, Quavo, Meadow Williams, Swen Temmel, Noel Gugliemi, Jonny Orsini, Dale Dickey, Winter Ave Zoli, Lindsay Pulsipher, Tyler Jon Olson, Katalina Viteri, Tierney Smith, Clay Wilcox",101,en,United States of America,N/A,85645
Orgasm Lecture 2,Drama,2020,10.0,N/A,"Min Do-yoon, Park Soo-bin-III, Hong Sae-hee, Baek Se-ri",73,ko,South Korea,N/A,N/A
Cars 2,Animation,2011,6.053,John Lasseter,"Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer, John Turturro, Eddie Izzard, Thomas Kretschmann, Guido Quaroni, Joe Mantegna, Peter Jacobson, Bruce Campbell, Tony Shalhoub, Darrell Waltrip, Brent Musburger, Jason Isaacs, David Hobbs, Stanley Townsend, Lloyd Sherr, Paul Dooley, Michel Michelis, Sig Hansen, Franco Nero, Vanessa Redgrave, Bonnie Hunt, Cheech Marin, Jenifer Lewis, Michael Wallis, Katherine Helmond, John Ratzenberger, Jeff Garlin, Patrick Walker, Lewis Hamilton, Velibor Topic, John Mainieri, Brad Lewis, Richard Kind, Edie McClurg, Teresa Gallagher, Jeff Gordon, John Lasseter, Mark Winterbottom, Daisuke Tsutsumi, Fernando Alonso, Vitaly Petrov, Jan Nilsson, Memo Rojas, Jacques Villeneuve, Sebastian Vettel, Catherine Bolt, Jess Fulton, Sonoko Konishi, Gillian Bolt",106,en,United States of America,559852396,200000000
Inspector Sun and the Curse of the Black Widow,Animation,2022,6.8,Julio Soto Gurpide,"Fernando Cabrera, Andrea Villaverde, Catherina Martínez, Ana Jiménez, Txema Moscoso, Vicente Gil, Jesús Barreda, Pedro Tena Ramos, María Luisa Marciel, Isabel Donate, Juan Rueda",90,es,Spain,N/A,N/A
The Exorcism of God,Horror,2022,7.186,Alejandro Hidalgo,"Will Beinbrink, María Gabriela de Faría, Irán Castillo, Joseph Marcell, Hector Kotsifakis, Juan Ignacio Aranda, Evelia Di Gennaro",98,en,Mexico,N/A,1500000
Kids vs. Aliens,Science Fiction,2023,5.967,Jason Eisener,"Dominic Mariche, Phoebe Rex, Calem MacDonald, Asher Grayson, Ben Tector, Emma Vickers, Isaiah Fortune, Jonathan Torrens, Caleb Allred, Jessica Marie Brown, Alexandra MacLean, Jordan Poole, Noah Rafuse, Jonni Shreve",75,en,Canada,N/A,N/A
Blade of the 47 Ronin,Action,2022,6.7,Ron Yuan,"Anna Akana, Mark Dacascos, Teresa Ting, Dustin Nguyen, Dan Southworth, Yoshi Sudarso, Akira Koieyama, Niino Furuhata, Luna Fujimoto, Chikako Fukuyama, Mike Moh, Chris Pang, Eniko Fulop",106,en,United States of America,N/A,N/A
Boston Strangler,Thriller,2023,6.736,Matt Ruskin,"Keira Knightley, Carrie Coon, Chris Cooper, Alessandro Nivola, Rory Cochrane, David Dastmalchian, Peter Gerety, Robert John Burke, Ryan Winkles, Morgan Spector, Michael Malvesti, Aurora McLaughlin, Liam Anderson, Antonio Volpicelli, Nancy E. Carroll, Therese Plaehn, Stephen Thorne, Greg Vrotsos, Ian Lyons, Christian J. Mallen, Pat Fitz, Pamela Jayne Morgan, Robert C. Kirk, Charlie Thurston, Kate Middleton, Ivan Martin, Kate Avallone, Tamara Hickey, Luke Kirby, Steve Routman, Thomas Kee, Kyra Weeks, John Lee Ames, Richard O'Rourke, James Ciccone, Bill Camp, Jimmy LeBlanc, Gary Galone, David Conley, Josh Drennen, Brian Faherty, Caroline Nesbit, Michele Proude, Grace Aiello Antczak, Sheriden Thomas, Rosemary Howard, Kris Sidberry, Sissy O'Hara, Kate Lynch, Corinne Ognibene, Erin Rose, Caitlin Zerra Rose, Laura Darrell, Lydia Harrell, Paula Plum, Jake Casper, Danny Connelly, Frank Ridley, Bill Mootos, Jennifer Lafleur, Danielle Perry, Moira Driscoll, Victor Warren, Bill Thorpe, Mike Bash, Marissa Carpio, James Wilcox, Michael Tow, Jonathan Fielding, Owen Burke",112,en,United Kingdom,N/A,N/A
On the Count of Three,Comedy,2022,6.581,Jerrod Carmichael,"Jerrod Carmichael, Christopher Abbott, Tiffany Haddish, Lavell Crawford, J.B. Smoove, Henry Winkler, Ryan McDonald, Allison Busner, Jamie Mac, Tori Hammond, Jared Abrahamson, Zachary Aiello, Sydney Van Delft, Huy Hao Tran, Matthew Gorman, Craig Arnold, Clyde Whitham, Richard Anderson, Sharon Forrester, David Thompson, Derrick Reeve, Yeva Light, Emma Gray, Gryffin Hanvelt, Avelyn Graye, Jordan Blais, Dan Day, Jen Julien, Sarah McArdle, Darcy Ryan, Chelsea Woods",86,en,United States of America,N/A,N/A
Matadero,Drama,2022,6.0,Santiago Fillol,"Malena Villa, Julio Perillán, Ailín Salas, Rafael Federman, Lina Gorbaneva, David Schetman, Ernestina Gatti, Lucas Damario, Eva Bianco, Hernán Sevilla, Rafael Rodríguez",106,es,Argentina,N/A,N/A
Hotel Transylvania: Transformania,Animation,2022,7.061,Derek Drymon,"Selena Gomez, Andy Samberg, Kathryn Hahn, Jim Gaffigan, Steve Buscemi, Molly Shannon, David Spade, Keegan-Michael Key, Brian Hull, Fran Drescher, Brad Abrell, Asher Blinkoff, Ninja, Zoe Berri, Genndy Tartakovsky, Asher Bishop, Jennifer Kluska, Victoria Gomez, Derek Drymon, Aaron LaPlante, Melissa Sturm, Chloé Malaisé, Scott Underwood, Michelle Murdocca, William Townsend, David Berón, Natalia Castellanos, Todd Haberkorn, Jess Harnell, Marabina Jaimes, Lex Lang, Caitlin McKenna, David Michie, Diego Osorio, Juan Pacheco, Jacqueline Pinol, Ben Pronsky, Michelle Ruff, Fred Tatasciore, Amanda Troop, Debra Wilson, Michael-Leon Wooley",87,en,United States of America,N/A,N/A
Disenchanted,Comedy,2022,6.975,Adam Shankman,"Amy Adams, Patrick Dempsey, Maya Rudolph, Gabriella Baldacchino, James Marsden, Idina Menzel, Yvette Nicole Brown, Jayma Mays, Kolton Stewart, Oscar Nunez, Alan Tudyk, Griffin Newman, Brooke Josephson, Eimear Morrissey, James Monroe Iglehart, Michael McCorry Rose, Ann Harada, Helen Norton, Sean Duggan, Brigid Leahy, Rachel Covey, Emmanuel Okoye, Hayley Keogh, Alix Bailey, Darren Le Gallo, Fiona Browne, Darlene Garr, Aidan McCann, Ingrid Werner, Edward Harrison, Claude Starling, Brian Law, Jessica Lee, Rendah Beshoori, Matt Servitto, Anthony R. Mottola, Adam Shankman, Kc Monnie",120,en,United States of America,N/A,N/A
The Lair,Horror,2022,5.875,Neil Marshall,"Charlotte Kirk, Jonathan Howard, Jamie Bamber, Mark Strepan, Hadi Khanjanpour, Leon Ockenden, Cesare Taurasi, Adam Bond, Neil Marshall, Troy Alexander, Kibong Tanji, Mark Arends, Alex Morgan, Mohsen Hassan Nejad, Musa Ibrahimov, Angela Scudder Kirk, Daniel-Konrad Cooper, Luke Bryant",93,en,Hungary,N/A,N/A
20th Century Girl,Romance,2022,8.325,Bang Woo-ri,"Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo, Kim Sung-kyung, Jeong Seok-yong, Yoon Yi-reh, Jeon Hye-won, Kim Nu-rim, Han Hyo-joo, Lee Beom-soo, Ryu Seung-ryong, Park Hae-jun, Gong Myoung, Ong Seong-wu, Kang Chae-young, Bang Woo-ri, Lee Chun-moo",119,ko,South Korea,N/A,119
